Id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Air_Pressure_Min,Air_Pressure_Max,Coolant_Temp,Coolant_Temp_Min,Coolant_Temp_Max,Coolant_Pressure,Factory_Temp,Factory_Temp_Min,Factory_Temp_Max,Factory_Humidity,Factory_Humidity_Min,Factory_Humidity_Max,Short_Shot_1,Bubble_1,Exfoliation_1,Blow_Hole_1,Stain_1,Dent_1,Deformation_1,Contamination_1,Impurity_1,Crack_1,Scratch_1,Buring_Mark_1,Inclusions_1,Short_Shot_2,Bubble_2,Exfoliation_2,Blow_Hole_2,Stain_2,Dent_2,Deformation_2,Contamination_2,Impurity_2,Crack_2,Scratch_2,Buring_Mark_2,Inclusions_2,Vel_1_2_Diff,Vel_2_3_Diff,Vel_Total_Range,Any_Defect
6241725,2,725,0.149,0.174,0.206,2.52,265,0.012,19,366,35.8,0.036,596,12.0,2.0,2.0,652.4,5.1,3,9,27.3,10,50,2.75,32.5,18.0,22.0,64.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024999999999999994,0.032,2.371,0
6242725,2,725,0.149,0.174,0.206,2.52,265,0.012,19,366,35.8,0.036,596,12.0,2.0,2.0,652.4,5.1,3,9,27.3,10,50,2.75,32.5,18.0,22.0,64.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024999999999999994,0.032,2.371,0
6243726,2,726,0.158,0.166,0.208,2.51,265,0.012,18,366,35.8,0.034,596,12.0,2.0,2.0,652.4,5.1,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008000000000000007,0.04199999999999998,2.352,0
6244726,2,726,0.158,0.166,0.208,2.51,265,0.012,18,366,35.8,0.034,596,12.0,2.0,2.0,652.4,5.1,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008000000000000007,0.04199999999999998,2.352,0
6245727,2,727,0.154,0.171,0.206,2.507,265,0.012,19,366,35.9,0.036,596,12.0,2.0,2.0,652.0,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017000000000000015,0.034999999999999976,2.353,0
6246727,2,727,0.154,0.171,0.206,2.507,265,0.012,19,366,35.9,0.036,596,12.0,2.0,2.0,652.0,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017000000000000015,0.034999999999999976,2.353,0
6247728,2,728,0.156,0.176,0.2,2.524,265,0.012,18,366,35.9,0.036,596,12.0,2.0,2.0,652.0,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01999999999999999,0.02400000000000002,2.368,0
6248728,2,728,0.156,0.176,0.2,2.524,265,0.012,18,366,35.9,0.036,596,12.0,2.0,2.0,652.0,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01999999999999999,0.02400000000000002,2.368,0
6249729,2,729,0.156,0.173,0.204,2.52,265,0.012,18,366,35.8,0.036,596,12.0,2.0,2.0,651.6,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016999999999999987,0.031,2.364,0
6250729,2,729,0.156,0.173,0.204,2.52,265,0.012,18,366,35.8,0.036,596,12.0,2.0,2.0,651.6,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016999999999999987,0.031,2.364,0
6251730,2,730,0.154,0.168,0.202,2.523,265,0.012,18,366,35.8,0.036,596,12.0,2.0,2.0,651.6,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014000000000000012,0.034,2.369,0
6252730,2,730,0.154,0.168,0.202,2.523,265,0.012,18,366,35.8,0.036,596,12.0,2.0,2.0,651.6,5.2,3,9,27.3,10,50,2.75,32.4,18.0,22.0,64.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014000000000000012,0.034,2.369,0
6253731,2,731,0.154,0.17,0.202,2.52,265,0.012,18,366,35.8,0.034,595,12.0,2.0,2.0,650.9,5.1,3,9,27.3,10,50,2.72,32.3,18.0,22.0,64.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016000000000000014,0.032,2.366,0
6254731,2,731,0.154,0.17,0.202,2.52,265,0.012,18,366,35.8,0.034,595,12.0,2.0,2.0,650.9,5.1,3,9,27.3,10,50,2.72,32.3,18.0,22.0,64.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016000000000000014,0.032,2.366,0
6255732,2,732,0.152,0.164,0.2,2.515,265,0.012,17,366,35.8,0.042,596,12.0,2.0,2.0,649.6,5.1,3,9,27.3,10,50,2.76,32.3,18.0,22.0,64.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01200000000000001,0.036000000000000004,2.363,0
