Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Coolant_Temp,Coolant_Pressure,Factory_Temp,Factory_Humidity,Pressure_Difference,Pressure_Difference_Ratio,Velocity_2-1,Velocity_3-2,Velocity_High-3,Velocity_Max-Min,Defect_Status,Defect_Type
2,118,0.158,0.162,0.202,2.726,264.0,0.012,17,359,34.2,0.042,595.0,10.0,2.0,2.7,660.1,6.1,26.4,2.7,34.5,52.7,331,2.253787878787879,0.004,0.04,2.524,2.568,0,Normal
2,119,0.16,0.172,0.208,2.721,264.0,0.011,17,359,34.1,0.041,595.0,10.1,2.0,2.7,660.1,6.1,26.4,2.7,34.5,52.7,331,2.253787878787879,0.0119999999999999,0.036,2.513,2.561,0,Normal
2,120,0.157,0.164,0.198,2.685,264.0,0.012,17,359,34.2,0.042,594.0,10.0,2.0,2.7,659.6,6.0,26.4,2.71,34.5,52.7,330,2.25,0.007,0.034,2.487,2.528,1,Other
2,121,0.155,0.162,0.212,2.69,264.0,0.013,16,346,34.0,0.04,595.0,10.1,2.0,2.7,659.6,6.0,26.4,2.71,34.5,52.7,331,2.253787878787879,0.007,0.0499999999999999,2.478,2.535,0,Normal
2,122,0.16,0.164,0.202,2.701,265.0,0.012,17,348,33.9,0.04,595.0,10.0,2.0,2.7,659.3,6.0,26.4,2.72,34.6,52.5,330,2.2452830188679247,0.004,0.038,2.499,2.541,0,Normal
2,123,0.156,0.166,0.21,2.724,264.0,0.012,18,348,33.9,0.041,594.0,10.0,2.0,2.7,659.3,6.0,26.4,2.7,34.6,52.2,330,2.25,0.01,0.0439999999999999,2.514,2.568,0,Normal
2,124,0.154,0.172,0.208,2.723,264.0,0.012,18,361,33.9,0.042,595.0,10.0,2.0,2.7,659.3,6.0,26.4,2.7,34.6,52.2,331,2.253787878787879,0.0179999999999999,0.036,2.515,2.569,0,Normal
2,125,0.156,0.164,0.194,2.702,264.0,0.014,19,363,33.9,0.041,595.0,10.0,2.0,2.7,658.7,5.9,26.4,2.7,34.5,52.2,331,2.253787878787879,0.008,0.03,2.508,2.546,0,Normal
2,126,0.15,0.16,0.204,2.681,264.0,0.011,18,363,34.0,0.039,595.0,10.0,2.0,2.7,658.7,5.9,26.4,2.7,34.5,52.2,331,2.253787878787879,0.01,0.0439999999999999,2.477,2.531,0,Normal
2,127,0.15,0.16,0.204,2.681,264.0,0.011,18,363,34.0,0.039,595.0,10.0,2.0,2.7,657.9,5.9,26.4,2.68,34.4,52.2,331,2.253787878787879,0.01,0.0439999999999999,2.477,2.531,0,Normal
