id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Biscuit_Thickness,Rapid_Rise_Time,Pressure_Rise_Time,Clamping_Force,Cycle_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Coolant_Temp,Coolant_Pressure,Factory_Temp,Factory_Humidity,Pressure_Diff_ratio,clamp_per_press,temp_diff,press_time_ratio,spray_cycle_ratio,heat_index,Defect_Status,Defect_Type
6819285,2,285,0.16,0.166,0.202,2.511,265,18,0.011,0.033,382,36.0,595,12.1,2.0,2.0,647.4,6.8,27.2,2.6,31.8,69.1,2.2452830188679247,0.6420168067226891,615.6,3.0000000000000004,0.3361111111111111,21.973799999999997,1,Short_Shot
6821286,2,286,0.148,0.17,0.198,2.518,265,19,0.012,0.034,381,36.0,595,12.1,2.0,2.0,648.1,6.7,27.2,2.63,31.8,69.3,2.2452830188679247,0.6403361344537815,616.3000000000001,2.8333333333333335,0.3361111111111111,22.037399999999998,1,Short_Shot
6823287,2,287,0.156,0.174,0.204,2.517,265,19,0.011,0.035,381,36.0,595,12.1,2.0,2.0,648.5,7.0,27.2,2.61,31.8,69.2,2.2452830188679247,0.6403361344537815,616.7,3.181818181818182,0.3361111111111111,22.0056,1,Short_Shot
6825288,2,288,0.158,0.168,0.196,2.513,265,18,0.01,0.036,382,36.1,595,12.2,2.0,2.0,648.5,7.0,27.2,2.61,31.8,69.2,2.2452830188679247,0.6420168067226891,616.7,3.5999999999999996,0.3379501385041551,22.0056,0,Normal
6827289,2,289,0.147,0.164,0.206,2.523,264,18,0.012,0.033,381,36.1,595,12.1,2.0,2.0,649.2,6.8,27.2,2.62,31.8,69.2,2.253787878787879,0.6403361344537815,617.4000000000001,2.75,0.335180055401662,22.0056,1,Short_Shot
6829290,2,290,0.155,0.168,0.202,2.511,265,19,0.011,0.035,381,36.1,595,12.1,2.0,2.0,649.2,6.8,27.2,2.62,31.8,69.2,2.2452830188679247,0.6403361344537815,617.4000000000001,3.181818181818182,0.335180055401662,22.0056,1,Blow_Hole
6831291,2,291,0.16,0.172,0.198,2.47,265,21,0.012,0.036,381,36.1,596,12.2,2.0,2.0,649.6,7.0,27.2,2.62,31.8,69.2,2.249056603773585,0.639261744966443,617.8000000000001,2.9999999999999996,0.3379501385041551,22.0056,1,Short_Shot
6833292,2,292,0.16,0.168,0.2,2.493,265,20,0.012,0.036,381,36.1,595,12.2,2.0,2.0,650.2,7.1,27.3,2.62,31.8,69.3,2.2452830188679247,0.6403361344537815,618.4000000000001,2.9999999999999996,0.3379501385041551,22.037399999999998,1,Short_Shot
6835293,2,293,0.158,0.17,0.206,2.51,264,18,0.01,0.034,382,36.1,595,12.1,2.0,2.0,650.2,7.1,27.3,2.62,31.8,69.3,2.253787878787879,0.6420168067226891,618.4000000000001,3.4000000000000004,0.335180055401662,22.037399999999998,0,Normal
6837294,2,294,0.154,0.168,0.204,2.5,264,19,0.01,0.034,381,36.1,595,12.1,2.0,2.0,650.5,6.8,27.3,2.62,31.8,69.2,2.253787878787879,0.6403361344537815,618.7,3.4000000000000004,0.335180055401662,22.0056,0,Normal
